place	year	years	work	page	occurrences	variants	confidence	evidence	geo_id
Västerås	1851	1851	I Sverrig	70	1	Westeraas	high	se-kort	
Vättern	1851	1851	I Sverrig	35	1	Wettern	high	se-kort	
Vélez Málaga	1863	1863	I Spanien	290	1	Velez-Malaga	high	se-kort	
Würtemberg	1863	1863	I Spanien	352	1		medium	located+place-type	
Xenil	1863	1863	I Spanien	290	1		high	se-kort	
Xeres de la Frontera	1863	1863	I Spanien	352	1		high	se-kort	
Yrun	1863	1863	I Spanien	411	1		high	se-kort	
Zacatin	1863	1863	I Spanien	302	1		high	head-noun+place-type	
Zaragoza	1863	1863	I Spanien	236	1	Saragossa	high	se-kort	
Zigeuner-Qvarteret	1863	1863	I Spanien	297	1		high	head-noun+place-type	
Zürich	1858	1858	Fortællinger og Vers for Større og Mindre	153	1		high	se-kort	
Øen med … Slot	1851	1851	I Sverrig	61	1		high	head-noun+place-type	
ørk	1863	1863	I Spanien	394	1		high	head-noun+place-type	
