place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
Edinburgh	Edinburgh	hovedstaden i Skotland.	1868	1868	15	Et Besøg i Portugal 1866	438	1	v15:438 (1868)	high	head-noun+located+place-type	
Edirne	Adrianopel	Edirne, tyrkisk by nær den bulgarske grænse; se kort.	1842	1842	14	En Digters Bazar	486	1	v14:486 (1842)	high	se-kort+place-type	
een af de mindste Byer	een af de mindste Byer	Fåborg.	1846	1846	16	Mit eget Eventyr uden Digtning	223	1	v16:223 (1846)	high	head-noun+place-type	
eet af … Billeder	eet af … Billeder	Palazzo Barberini bygget til Maffeo Barberini (1568-1644, fra 1623 pave Urban 8.) af arkitekterne Carlo Moderno (1556-1629), Gian Lorenzo Bernini og Francesco Borromini (1599-1667). Paladset huser det nationale galleri for ældre kunst, Galleria Nazionale d’Arte Antica.	1842	1842	14	En Digters Bazar	298	1	v14:298 (1842)	medium	located	
Egede	Egede	den norske præst Hans Egede blev på sin 16 år lange mission til Grønland 1721 fulgt af sin hustru, der døde 1735, kort før Egede i 1736 vendte tilbage.			8	(untitled)	310	1	v8:310 ()	medium	located	
Egerias Grotte	Egerias Grotte	kilde i en lund uden for Porta Capena ved Via Appia Antica lidt syd for Rom; viet til den romerske kildegudinde Egeria.	1835	1835	4	Improvisatoren	66	1	v4:66 (1835)	high	head-noun+located+place-type	
Eggert Christopher Tryde	Provst Tryde	Eggert Christopher Tryde, sognepræst ved Vor Frue Kirke; C.E. Trydes tale er gengivet i Hans Christian Ørsteds Jordefærd, 1851, s. 19-29.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	126	1	v18:126 (1869)	medium	located+place-type	
Ehrenbreitstein	Ehrenbreitstein	tysk fæstning ved Rhinen over for Koblenz; se kort. Det oprindelige slot fra 1000-tallet blev genopbygget i 1816-1832 til en af Europas stærkeste fæstninger.	1842	1842	14	En Digters Bazar	548	1	v14:548 (1842)	high	se-kort+located+place-type	
Eideren	Eideren(s)	grænsefloden mellem Slesvig og Holsten.	1857	1857	6	»At være eller ikke være«	173	1	v6:173 (1857)	high	head-noun+located+place-type	
Eiderstedt	Eiderstedt	halvø i Vadehavet nord for byen Husum i Slesvig.	1849	1849	5	De to Baronesser	433	1	v5:433 (1849)	high	head-noun+located+place-type	
Eiger	Eiger	bjergtop på 3975 m i Finsteraarhorngruppen.	1862	1862	2	Iisjomfruen	398	1	v2:398 (1862)	medium	located	
Einsiedeln	Einsiedeln	kloster og valfartssted i en sidedal i kanton Schwyz, godt 30 km fra Brunnen, hvortil H.C. Andersen kom 14. juli.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	240	1	v18:240 (1869)	high	head-noun+place-type	
Eisleben	Eisleben	se kort.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	128	1	v14:128 (1831)	high	se-kort	
El Escorial	Escorial	El Escorial, landsby 42 km uden for Madrid (se kort), hvor Filip 2. lod bygge et palads og kloster, San Lorenzo del Escorial 1563-1567, der samtidig skulle fungere som kongelig begravelsesplads.	1863	1863	15	I Spanien	384	1	v15:384 (1863)	high	se-kort+located+place-type	
Elben	Elben	1165 km lang flod. Udspringer i Riesengebirge i Tjekkiet og løber ud i Nordsøen nordvest for Hamburg; se kort.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	140	1	v14:140 (1831)	high	in-register+se-kort+place-type	geo-6553378
