place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
1284 … plyndret af Nordmændene	1284 … plyndret af Nordmændene	kilden er ikke fundet.	1860	1860	15	Folkekalender for Danmark	189	1	v15:189 (1860)	high	head-noun+place-type	
18de Februar 1862	18de Februar 1862	H.C. Andersen skulle ifølge dagbogen have været i Det Kgl. Teater og se Den Stumme i Portici, J.L. Heibergs opsætning af D.F.E. Aubers La muette de Portici, 1828, med koreografi af Bournonville; stykket blev dog aflyst på grund af sygdom.			8	(untitled)	334	1	v8:334 ()	medium	located	
Abbotsford	Abbotsford	Walter Scotts herregård ved Tweed i Skotland.	1849	1849	5	De to Baronesser	413	1	v5:413 (1849)	medium	located+place-type	
Absalon	Absalon	(ca. 1128-1201), statsmand og ærkebiskop, omdannede i 1162 familiens benediktinerkloster i Sorø til en cistercienserstiftelse og begunstigede klosteret af både sit privatgods og sit embedsgods.	1872	1872	3	Kometen	256	1	v3:256 (1872)	medium	located+place-type	
Abydos … Sestos	Abydos … Sestos	antikke græske byer på hhv. den asiatiske og den europæiske side af Dardanellerne.	1842	1842	14	En Digters Bazar	448	1	v14:448 (1842)	high	head-noun+place-type	
Acropolis	Acropolis	ruinerne af Athens højtbeliggende borg- og tempelområde.	1846	1846	16	Mit eget Eventyr uden Digtning	258	1	v16:258 (1846)	high	in-register+head-noun+place-type	geo-265409
Adam Knuth	Adam Knuth	Adam Knuth, brodersøn til Marie Elisabeth Moltke fra Bregentved, hvorfra H.C. Andersen kendte ham (jf. Almanakken 31. december 1846); Adam Knuth meldte sig 1848 som frivillig og blev samme år sekondløjtnant; i slaget ved Fredericia 6. juli 1849 blev han hårdt såret og invalideret.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	75	1	v18:75 (1869)	medium	located	
Adolf von Brockhausen	Baron Brockhausen	Adolf von Brockhausen, preussisk gesandt i Napoli; H.C. Andersen inviteredes til middag hos Adolf von Brockhausen 11. maj 1846.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	331	1	v17:331 (1855)	medium	located	
af de kongelige Palaier paa Amalienborg	af de kongelige Palaier paa Amalienborg	P.F. Wulff blev 1824 chef for søkademiet, der 1788-1827 havde til huse i Brockdorffs Palæ (Frederik 8.s Palæ) på Amalienborg, hvor familien fik embedsbolig.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	74	1	v17:74 (1855)	medium	located	
Agamemnons Grav	Agamemnons Grav	græsk sagnkonge i Mykene (se kort) på det nordøstlige Peloponnes, søn af Atreus; leder af togtet mod Troja. Efter hjemkomsten fra Troja blev han myrdet af sin hustru Klytaimnestra som hævn, fordi han under togtet havde ofret datteren Ifigenia for at få gunstig vind. Atreus’ skatkammer i Mykene, der er en såkaldt kuppelgrav fra 1300-1250 f.Kr., kaldes også Agamemnons grav.	1842	1842	14	En Digters Bazar	376	1	v14:376 (1842)	high	se-kort	
Akropolis	Akropolis	ruinerne af en befæstet by og religiøst centrum i Athen. Jf. Hackländer: »man könnte sagen, sie ist die Akropolis von Granada« (2 s. 254).	1863	1863	15	I Spanien	294	1	v15:294 (1863)	high	head-noun+located+place-type	
Alameda	Alameda	hovedgaden.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	257	1	v18:257 (1869)	high	head-noun+place-type	
Albanerbjergene	Albanerbjergene	30 km sydøst for Rom; se kort.	1870	1870	15	Breve fra og til Hans Christian Ørsted, 2. Samling	491	1	v15:491 (1870)	high	se-kort	
Albano	Albano	(Albano-Laziale) ved Lago Albano; se kort.	1842	1842	14	En Digters Bazar	337	1	v14:337 (1842)	high	se-kort	
Alcázar de San Juan	Alcazar de San Juan	Alcázar de San Juan, se kort.	1863	1863	15	I Spanien	379	1	v15:379 (1863)	high	se-kort	
Alexisbad	Alexisbad	kurbadested i Selke-dalen, grundlagt 1810.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	125	1	v14:125 (1831)	high	in-register+place-type	geo-2958541
Algeciras	Algeciras	se kort.	1863	1863	15	I Spanien	256	1	v15:256 (1863)	high	se-kort	
Alhama de Granada	Alhama	Alhama de Granada, se kort.	1863	1863	15	I Spanien	290	1	v15:290 (1863)	high	se-kort	
Alhambra	Alhambra | Alhambra(s)	slot i Granada. ¶ Maurerkongernes slot uden for Granada i Spanien. ¶ maurerkongernes slot uden for Granada; det omtalte besøg fandt sted den 7.	1837	1837 1853 1869	2 5 18	Kun en Spillemand	219	3	v5:219 (1837); v2:72 (1853); v18:257 (1869)	high	head-noun+located+place-type	
alle Troesbekjendelserne	alle Troesbekjendelserne	den danske kirke har tre formuleringer af kirkens tro, kaldet den apostolske, den nikænokonstantinopolitanske og den athanasianske trosbekendelse.	1857	1857	6	»At være eller ikke være«	118	1	v6:118 (1857)	high	head-noun+place-type	
Alleenberg	Alleenberg	forlystelseshave på Frederiksberg Allé 1841-1923.	1863	1863	15	I Spanien	309	1	v15:309 (1863)	medium	located+place-type	
allerede som lille Barn optraadt paa Scenen	allerede som lille Barn optraadt paa Scenen	Weissenthurn blev i 1789 15 (el. 16) år gammel ansat ved Burgtheater.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	164	1	v17:164 (1855)	medium	located	
Almadén	Almaden	Almadén, se kort.	1863	1863	15	I Spanien	275	1	v15:275 (1863)	high	se-kort	
Almansa og Alicante	Almansa og Alicante	se kort. H.C. Andersen gjorde ophold i Almansa og ankom til Alicante 20. september, hvor han opholdt sig til 23 september 1862.	1863	1863	15	I Spanien	250	1	v15:250 (1863)	high	se-kort	
Almería	Almeria	Almería, se kort.	1863	1863	15	I Spanien	286	1	v15:286 (1863)	high	se-kort	
Alster	Alster(en) | Alsteren	53 km lang biflod til Elben. Opdæmmes i Hamburg til de to kunstige søer Außen-Alster og Binnen-Alster. ¶ biflod til Elben, der opdæmmes i to kunstige søer i Hamburg, Außen-Alster og Binnen-Alster. ¶ Alster, biflod til Elben, der løber igennem Hamburg (og som er omdannet til søerne Binnen-Alster og Außen-Alster).	1831	1831 1842 1855	14 17	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	74	3	v14:74 (1831); v14:578 (1842); v17:249 (1855)	high	in-register+located+place-type+head-noun	geo-2958108
Altdorf	Altorf	Altdorf, by ved enden af Vierwaldstättersees østlige gren; se kort.	1861	1861	15	Illustreret Tidende	209	1	v15:209 (1861)	high	se-kort+place-type	
Altona	Altona	by nordvest for Hamburg, der dengang hørte under den danske krone og senere voksede sammen med Hamburg.	1842	1842	14	En Digters Bazar	578	1	v14:578 (1842)	high	in-register+head-noun+located+place-type	geo-2911296
Amalfi	Amalfi	kystby i Salernobugten syd for Napoli. ¶ kystby i Salernobugten syd for Napoli; se kort ¶ kystby i Salernobugten 25 km vest for Salerno.	1835	1835 1855	4 14 17	Improvisatoren	254	3	v4:254 (1835); v14:201 (1835); v17:153 (1855)	high	in-register+head-noun+located+place-type+se-kort	geo-3183130
Amphitheatret udenfor Capua	Amphitheatret udenfor Capua	Italiens næststørste amfiteater, bygget i 1. århundrede e.Kr. i den antikke by Capua, nuværende Santa Maria Capua Vetere. 5 km nordligere ligger det nuværende Capua; se kort.	1842	1842	14	En Digters Bazar	331	1	v14:331 (1842)	high	se-kort+place-type	
Amrom	Amrom	øen Amrum vest for Föhr.	1849	1849 1855	5 17	De to Baronesser	384	2	v5:384 (1849); v17:287 (1855)	high	head-noun+place-type	
Ancona	Ancona	se kort.	1842	1842	14	En Digters Bazar	351	1	v14:351 (1842)	high	se-kort	
Andújar	Andujar	Andújar, se kort.	1863	1863	15	I Spanien	376	1	v15:376 (1863)	high	se-kort	
anmeldte under Mærket y–	anmeldte under Mærket y–	H.C Andersens anmeldelse af H.C. Ørsteds foredrag i Selskabet for Naturlærens Udbredelse er trykt uden titel under mærket »« i Kjøbenhavns-Posten, nr. 108, 20. april 1839 (se denne udgaves bd. 9, s. 484-485).	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	83	1	v17:83 (1855)	medium	located	
Anna Barbara Jensenius	Præste-Enke	Anna Barbara Jensenius, f. Petersen, enke efter sognepræst til Vejlby ved Middelfart Johan Jürgen Jensenius. Hun boede i stiftelsen Eilschous Boliger i Munkemøllestræde skråt overfor H.C. Andersens barndomshjem.	1846	1846	16	Mit eget Eventyr uden Digtning	189	1	v16:189 (1846)	medium	located+place-type	
Antvorskov Kloster	Antvorskov Kloster | Antvorskou-Slot	johanitterkloster fra ca. 1164, ombygget til kongeslot 1580-1584. Nord- og vestfløjen blev nedrevet 1814-1816 og østfløjen i 1830’erne. ¶ Antvorskov Kloster, 1 km syd for Slagelse, blev nedrevet 1816.	1846	1846 1859	2 16	Mit eget Eventyr uden Digtning	213	2	v16:213 (1846); v2:281 (1859)	high	head-noun+place-type+located	
apage	apage	(græsk) vig bort; fra Matthæus 4,10 og Lukas 4,8 (»apage Satana!«).	1829	1829	9	Fodreise fra Holmens Canal til Østpynten af Amager i Aarene 1828 og 1829	199	1	v9:199 (1829)	high	head-noun+located+place-type	
Apatin … Paks	Apatin … Paks	se kort.	1842	1842	14	En Digters Bazar	550	1	v14:550 (1842)	high	se-kort	
Apenniner	Apenniner	bjergkæde i Mellemitalien.	1835	1835	4	Improvisatoren	159	1	v4:159 (1835)	high	head-noun+located+place-type	
Appeninerne	Appeninerne	bjergkæde i det centrale Italien, der strækker sig fra Posletten og sydpå.	1835	1835	4	Improvisatoren	307	1	v4:307 (1835)	high	head-noun+place-type	
araceli	araceli	kirken Santa Maria in Aracoeli med den hellige bambino, Jesusbarnet (1400-tallet), udskåret af oliventræ fra Getsemane af en franciskanermunk. Kirken er beliggende på den nordøstlige top af Capitol, en af Roms syv høje.	1835	1835	4	Improvisatoren	71	1	v4:71 (1835)	high	head-noun+place-type	
Aranjuez	Aranjuez | Aranjues	se kort. ¶ Aranjuez, spansk by ca. 40 km syd for Madrid, kendt for sit kongelige slot med det smukke haveanlæg, bygget 1561-1567 under Filip 2.	1863	1863 1869	15 18	I Spanien	379	2	v15:379 (1863); v18:263 (1869)	high	se-kort+located+place-type	
Arcadien	Arcadien	oprindelig navnet på græsk landskab på Peloponnes; fra 1600-tallets hyrdedigtning tillige navnet på idyllisk og fredfyldt landskab.	1829	1829	9	Fodreise fra Holmens Canal til Østpynten af Amager i Aarene 1828 og 1829	208	1	v9:208 (1829)	medium	located+place-type	
Archipel	Archipel	øhav, oprindeligt brugt om Ægæerhavet.	1851	1851	15	I Sverrig	53	1	v15:53 (1851)	high	head-noun+place-type	
Archipelagus	Archipelagus	(græsk: arkipelagos) øhav. ¶ øhav.	1846	1846 1849	5 16	Mit eget Eventyr uden Digtning	244	3	v16:244 (1846); v16:292 (1846); v5:322 (1849)	high	head-noun+place-type	
Arcone	Arcone	forbjerget Arkona på den tyske ø Rügen, der, som Stevns Klint, bl.a. består af kridt.	1830	1830	7	Digte	95	1	v7:95 (1830)	high	head-noun+place-type	
Arenz	Arenz	Henr. Ahrenz var søn af en købmand i Hamburg, 1839 gift med en kusine til brødrene O’Neill.	1868	1868	15	Et Besøg i Portugal 1866	456	1	v15:456 (1868)	medium	located	
Arezzo	Arezzo	se kort.	1842	1842	14	En Digters Bazar	284	1	v14:284 (1842)	high	in-register+se-kort	geo-3182884
Argonauterne	Argonauterne	søfolkene ombord på Jasons skib Argo.	1842	1842	14	En Digters Bazar	495	1	v14:495 (1842)	medium	located	
Ariccia	Ariccia	by i Albanerbjergene. ¶ by 11 km syd for Grottaferrata.	1835	1835 1855	4 17	Improvisatoren	194	2	v4:194 (1835); v17:138 (1855)	high	head-noun+located+place-type	
Arkadien	Arkadien(s)	bjergrigt område på Peloponnes, den sydlige halvø på det græske hovedland (se kort); siden antikken også navnet på et idyllisk sted, hvor livet leves enkelt og lykkeligt.	1842	1842	14	En Digters Bazar	374	1	v14:374 (1842)	high	se-kort+located+place-type	
armenianske Præster	armenianske Præster	tilhørende den armenske, kristne ortodokse kirke, som havde et patriarkat i Istanbul fra 1461.	1842	1842	14	En Digters Bazar	456	1	v14:456 (1842)	medium	located+place-type	
Arno	Arno	flod, der udspringer i Appenninerne, flyder igennem Firenze og videre ud mod Middelhavet. ¶ flod i Norditalien.	1842	1842	14	En Digters Bazar	271	2	v14:271 (1842); v14:522 (1842)	high	head-noun+located+place-type	
Arthur Richard Wellesley	den nuværende Hertug af Wellington	Arthur Richard Wellesley, søn af sejrherren ved Waterloo, Arthur Wellesley, hertug af Wellington; ved faderens død 1852 arvede Arthur Richard Wellesley hertugtitlen.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	39	1	v18:39 (1869)	medium	located	
Ascanii Grav	Ascanii Grav	plads ved vejen fra Albano til Rom, hvor Æneas’ søn, Ascanius, skulle være begravet. ¶ plads på vejen mellem Rom og Albano, hvor den trojanske sagnprins Ascanius, Æneas’ søn, ifølge traditionen er begravet.	1835	1835 1842	4 14	Improvisatoren	283	2	v4:283 (1835); v14:337 (1842)	high	head-noun+located+place-type	
Asmildkloster	Asmildkloster	herregård ved Viborg. Oprindelig et kloster for nonner af Augustinerordenen beliggende i Asmild Kirkes nordfløj. Efter reformationen blev klostret omdannet til herregård.	1832	1832	16	Levnedsbog	159	1	v16:159 (1832)	high	head-noun+located+place-type	
Assisi	Assisi	se kort.	1842	1842	14	En Digters Bazar	288	1	v14:288 (1842)	high	in-register+se-kort	geo-3182722
Astrakhan	Astrakan	Astrakhan, russisk havneby ved Det Kaspiske Hav.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	175	1	v14:175 (1831)	medium	located+place-type	
Asturien	Asturien	region i Nordvestspanien.	1863	1863	15	I Spanien	301	1	v15:301 (1863)	high	head-noun+located+place-type	
Atlasbjerge	Atlasbjerge	bjergkæde, der strækker sig fra Sydvest-Marokko til Nordøst-Tunesien.	1863	1863	15	I Spanien	336	1	v15:336 (1863)	high	head-noun+located+place-type	
Attica	Attica(s)	Attika er navnet på den halvø i den østlige del af det centrale Grækenland, hvor Athen ligger.	1842	1842	14	En Digters Bazar	544	1	v14:544 (1842)	high	in-register+place-type	geo-6692632
Aude sapere	Aude sapere	(latin, egentlig sapere aude) hav mod til at bruge din forstand; citat fra Horats Epistler I,2,40, som blev gjort berømt af Kant i Was ist Aufklärung?, 1784 (dansk Hvad er Oplysning?, 1797), hvori han skriver: »Sapere aude! Habe Mut dich deines eigenen Verstandes zu bedienen! ist also der Wahlspruch der Aufklärung« (tysk) Sapere aude! Hav mod til at betjene dig af din egen forstand! er altså oplysningens valgsprog.			7	Poetisk Spiseseddel	49	1	v7:49 ()	high	head-noun+place-type	
Augsburg	Augsborg | Augsburg	Augsburg; se kort. ¶ H.C. Andersen opholdt sig her 16.-17. november 1840.	1842	1842	14	En Digters Bazar	237	2	v14:237 (1842); v14:243 (1842)	high	se-kort+in-register	geo-2954172
Augustenborg	Augustenborg	slottet ligger på Als.	1846	1846	16	Mit eget Eventyr uden Digtning	294	1	v16:294 (1846)	high	head-noun+located+place-type	
Augustenborg Liedertafel	»Liedertafel«	Augustenborg Liedertafel, den lokale tyske sangforening, stiftet 1843; da flere af medlemmerne havde forbindelser til hoffet, medvirkede foreningen ved flere lejligheder ved hertugfamiliens fester.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	294	1	v17:294 (1855)	high	head-noun+place-type	
Aveiro	Aveiro	se kort; romernes Talabriga, gammelt bispesæde og vigtig havn med salteksport frem til 1575, da havnen sandede til. På H.C. Andersens tid var byen hensygnende. Udflugten fandt sted den 20.21. juli.	1868	1868	15	Et Besøg i Portugal 1866	461	1	v15:461 (1868)	high	se-kort+place-type	
Avesta	Avesta(’s)	se kort 2. Fra 1636 lå her et kobberforædlingsværk.	1851	1851	15	I Sverrig	118	1	v15:118 (1851)	high	se-kort	
»Axel og Valborg«	»Axel og Valborg«	Adam Oehlenschlägers sørgespil Axel og Valborg, 1810, havde været opført på Det Kgl. Teater siden 29. januar 1810. J.P.E. Hartmanns ouverture til stykket er slutdateret den 7. januar 1857 og blev opført første gang den 27. januar 1857 i Musikforeningen.	1860	1860	9	Illustreret Tidende	462	1	v9:462 (1860)	medium	located+place-type	
Axelshuus	Axelshuus	antoges tidligere for navnet på den borg i København, som biskop Absalon (ca. 1128-1201) lod opføre 1167; 1500-tallets historikere antog fejlagtigt, at biskop Absalon egentlig hed Aksel og hans hus derfor Akselhus.	1829	1829	9	Fodreise fra Holmens Canal til Østpynten af Amager i Aarene 1828 og 1829	172	1	v9:172 (1829)	medium	located+place-type	
Baalbek	Baalbek	by i Libanon, der var centrum for Baalkulten, fik navnet Heliopolis (solens by) under grækernes herredømme. Blev i 100-tallet e.Kr. romersk koloni; romerne byggede flere templer, hvoraf det største var for Jupiter.	1842	1842	14	En Digters Bazar	463	1	v14:463 (1842)	high	head-noun+located+place-type	
Babeltaarn	Babeltaarn(e)	tårn i Babylon, der skulle nå helt op til himlen. Ifølge 1. Mosebog 11,1-9 havde indbyggerne i Babylon oprindelig kun et sprog, men da Gud så, at de magtede at bygge et tårn, der rakte til himlen, spredte han det babylonske folk og gav dem forskellige sprog, så de ikke kunne fungere som ét folk.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	87	1	v14:87 (1831)	high	head-noun+located+place-type	
Bad Berneck	Bernech	Bad Berneck, by mellem Münchberg og Bayreuth; se kort.	1842	1842	14	En Digters Bazar	238	1	v14:238 (1842)	high	se-kort+located+place-type	
Baikos	Baikos	by på Bosporusstrædets østbred, ca. 40 km nord for Istanbul; se kort.	1842	1842	14	En Digters Bazar	493	1	v14:493 (1842)	high	se-kort+head-noun+located+place-type	
Bailen	Baylen	Bailen, se kort; her sejrede spanske styrker over Napoleon juli 1808 under uafhængighedskrigen.	1863	1863	15	I Spanien	376	1	v15:376 (1863)	high	se-kort	
Bajæ	Bajæ	kystby syd for Napoli.	1835	1835	14	Søndagsblad. Et æsthetisk Ugeskrift	198	1	v14:198 (1835)	high	head-noun+located+place-type	
Bakkehuset	Philemon og Baucis Hytte	Bakkehuset; allusion til Knud Lyne Rahbeks digt »Til mit Bakkehus« i Poetiske Forsøg, bind 2, 1802. Philemon og Baucis var ifølge Ovids (43 f.Kr.-18 e.Kr.) Metamorfoser (8,621 ff.) et gammel, fromt ægtepar, der gæstfrit tog imod guderne Zeus og Hermes i deres tarvelige hytte; som tak blev hytten forvandlet til et tempel.	1869	1869	9	Erindringer fra Bakkehuset	535	1	v9:535 (1869)	medium	located	
Bakken	Bakken	Valby bakke. ¶ Valby Bakke.	1859	1859 1869	2 9	Børnesnak	280	2	v2:280 (1859); v9:535 (1869)	high	head-noun+place-type	
Balkanbjergene	Balkanbjergene	bjergkæde, der strækker sig fra Bulgariens nordvestlige hjørne til Sortehavet.	1842	1842	14	En Digters Bazar	515	1	v14:515 (1842)	high	head-noun+located+place-type	
Balle-Kirke	Balle-Kirke	i sognet nord for Silkeborg i det daværende Viborg amt.	1854	1854	15	Folkekalender for Danmark	139	1	v15:139 (1854)	medium	located+place-type	
Barbarer	Barbarer	både i betydningen ucivilicerede, barbariske folk og berbere, indbyggere i Berberiet el. Barbareskstaterne, som er en ældre fællesbetegnelse for Marokko, Algeriet, Tunis og Tripolitania (i Libyen).	1863	1863	15	I Spanien	332	1	v15:332 (1863)	medium	located	
Barberen … Romerdrengen	Barberen … Romerdrengen	Romersk gadebarber, malet i Rom 1864, nu på Den Hirschsprungske Samling.			8	Af Samlede Skrifter	479	1	v8:479 ()	medium	located	
Barcelona	Barcelona	se kort; H.C. Andersen opholdt sig her 6.-16. september 1862.	1863	1863	15	I Spanien	226	1	v15:226 (1863)	high	se-kort	
Barkedalen	Barkedalen	Barkdalen ved Leksand, hvor kirkegængere, der kom ad søvejen, lagde til.	1851	1851	15	I Sverrig	86	1	v15:86 (1851)	high	head-noun+place-type	
Barnaby Rudge	Barnaby Rudge	Barnaby Rudge, 1840-1841, (dansk med samme titel 1845).	1860	1860	15	Berlingske politiske Avertissements-Tidende	166	1	v15:166 (1860)	high	head-noun+place-type	
Bascara	Bascara	se kort.	1863	1863	15	I Spanien	224	1	v15:224 (1863)	high	se-kort	
Basiasch	Basiasch	Bazias med græsk kloster; se kort.	1842	1842	14	En Digters Bazar	542	1	v14:542 (1842)	high	se-kort	
Basnæs	Basnæs	hovedgård og gods ved Skælskør. ¶ hovedgård og gods sydøst for Skælskør; ejet af familien Scavenius, hvor specielt Henriette Scavenius (1819-1989) var en nær veninde af H.C. Andersen. ¶ familien Scavenius’ hovedgård og gods sydøst for Skælskør, hvor specielt Henriette Scavenius, Lucies mor, var en nær veninde af H.C. Andersen. ¶ familien Scavenius’ hovedgård og gods sydøst for Skælskør, hvor specielt Henriette Scavenius var en nær veninde af H.C. Andersen.	1868	1868 1874	3 8	Bemærkninger	387	4	v3:387 (1868); v3:396 (1874); v8:380 (); v8:492 ()	high	head-noun+located+place-type	
Bastei	Bastei	bjergmassiv i Sachsiske Schweiz; se kort.	1842	1842	14	En Digters Bazar	576	1	v14:576 (1842)	high	in-register+se-kort+located	geo-2952248
Bastholms Bibliothek	Bastholms Bibliothek	præst ved Sankt Peders Kirke i Slagelse, Hans Bastholm, havde samlet et omfattende bibliotek, der i 1825 bestod af 5435 bind og i 1847 af 7226. I 1826 traf Bastholm aftale med Sorø Akademi om, at man kunne overtage bogsamlingen på et senere tidspunkt mod en livrente til ham og hans kone. I 1846 overgik de første 5000 bind og resten efter Bastholms død i 1866.	1832	1832	16	Levnedsbog	99	1	v16:99 (1832)	medium	located+place-type	
Bastillen	Bastillen	borg i Paris, anvendt som fængsel, nedrevet i 1789 ved begyndelsen på den franske revolution. ¶ middelalderborg i Paris anvendt som fængsel, stormet den 14. juli 1789 som start på den franske revolution og nedrevet umiddelbart efter.	1837	1837 1855 1866	3 5 17	Kun en Spillemand	196	3	v5:196 (1837); v17:15 (1855); v3:127 (1866)	high	head-noun+located+place-type	
Bayonne	Bayonne | Bajonne	fransk by ved grænsen til Spanien. ¶ Bayonne, by ved Golfe de Gascogne ca. 25 km fra grænsen til Spanien.	1863	1863 1868	15	I Spanien	350	2	v15:350 (1863); v15:422 (1868)	medium	located+place-type	
Bazar	Bazar(en)	gade eller torv med købmandsboder.	1840	1840	11	Maurerpigen	461	1	v11:461 (1840)	high	head-noun+place-type	
Beaulieus yngre Broder Edmond	Beaulieus yngre Broder Edmond	formodentlig August von Beaulieu-Marconnay, bror til Carl von Beaulieu-Marconnay og løjtnant i oldenburgsk tjeneste; han endte som major i den østrigske hær. Ifølge Dagbogen mødte H.C. Andersen ham 4. juli 1844 og gjorde 9.12. juli en udflugt til Tharandt, sydvest for Dresden, hvor August von Beaulieu-Marconnay opholdt sig.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	282	1	v17:282 (1855)	medium	located	
Bebek	Bebek	se kort.	1842	1842	14	En Digters Bazar	492	1	v14:492 (1842)	high	in-register+se-kort	geo-750864
Behobie	Behobie	lille by ca. 2 km fra Irún.	1863	1863	15	I Spanien	412	1	v15:412 (1863)	high	head-noun+located+place-type	
Belgrads Fæstning	Belgrads Fæstning	den første fæstning ved Beograd blev bygget af kelterne i 200-tallet; ødelagt og genopbygget utallige gange frem til slutningen af 1700-tallet.	1842	1842	14	En Digters Bazar	544	1	v14:544 (1842)	high	head-noun+located+place-type	
Ben Lomond	Ben Lomond	bjerg ved bredden af Loch Lomond.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	54	1	v18:54 (1869)	high	head-noun+place-type	
Benavente	Benavente	se kort.	1868	1868	15	Et Besøg i Portugal 1866	461	1	v15:461 (1868)	high	se-kort	
Bergsäng	Bergsäng	se kort 2 (mellem Leksand og Rättvik).	1851	1851	15	I Sverrig	96	1	v15:96 (1851)	high	se-kort	
Berner-Oberland	Berner-Oberland	bjergkæde i det sydvestlige Schweiz, der strækker sig langs Rhôneflodens nordlige bred. –	1862	1862	2	Iisjomfruen	394	1	v2:394 (1862)	high	head-noun+place-type	
Besançon	Besançon	fransk by nordvest for Le Locle.	1836	1836	4	O. T.	452	1	v4:452 (1836)	medium	located+place-type	
Bestillinger til Slottet og Raadhuset	Bestillinger til Slottet og Raadhuset	både Christiansborg Slot og Københavns Rådhus var blevet hærget af ildebrande omkring århundredeskiftet, og da man herefter iværksatte restaureringen, bad man Thorvaldsen om at bidrage til udsmykningen. Til rådhuset modtog han ifølge J.M. Thiele Den danske Billedhugger Bertel Thorvaldsen og hans Værker, bind 1, 1831, s. 75, bestilling på statuer af den græske statsmand og digter Solon (ca. 640-560 f.Kr.) og den spartanske statsmand Lycurg (Lykurgos), der ifølge traditionen grundlagde det spartanske samfund i 600-tallet f.Kr. Disse to værker blev dog aldrig udført. Endvidere fik han bestilling på et andet værk, der i dag bærer titlen Jupiter tronende mellem Minerva og Nemesis, ca. 1822, som aldrig blev udført i marmor, men er opstillet i gips på Thorvaldsens Museum. Da Thorvaldsen i 1819 besøgte København, foreslog han at udføre sidstnævnte værk til Christiansborg Slot og i stedet fremstille værket Salomons Dom til rådhuset; værket blev dog aldrig udført, men findes i udkast (dateret 1835) på Thorvaldsens Museum. Til Christiansborg Slot modtog Thorvaldsen ordre på 4 basreliefs: Minerva giver det af Prometheus skabte menneske sjæl, Thorvaldsens Museum, 1807-1808, Herkules modtager udødelighedens drik af Hebe, Thorvaldsens Museum, 1808, Nemesis oplæser menneskenes gerninger for Jupiter, Thorvaldsens Museum, 1810 samt Hygiea giver Æskulaps slange næring, Thorvaldsens Museum, 1808.	1844	1844	9	Berlingske politiske og Avertissements-Tidende	423	1	v9:423 (1844)	high	head-noun+place-type	
betegnede Heiberg det	betegnede Heiberg det	jf. J.L. Heibergs anmeldelse af teaterbearbejdelsen af Agnete og Havmanden i Intelligensblade, nr. 29-30, 1. juni 1843: »Dersom det ikke var det paa Theatret opførte Udtog af Digtet, jeg her skulde omtale, men dette selv, saa vilde jeg sige, at det var et yderst mat og kraftløst Arbeide, der støtter sig paa overfladisk tilegnede Reminiscenser af Sujettets forskjellige Bearbeidelser, er udpyntet med endeel tom og falsk Lyrik, og i det hele vidner om Forfatterens sædvanlige Mangel paa Opfindelse og paa Evne til at bringe fornuftig Sammenhæng i sine Characterer og Klarhed i de fremstilte Ideer. Alle Modsætninger, som skulde staae i organisk Bestemthed imod hinanden, røres her sammen i en jevn Velling, hvori hverken den ene eller den anden er kjendelig (...) At Sagen ikke er bleven bedre, men snarere værre ved det Udtog af Digtet, som man har transporteret umiddelbart fra Bogladen op paa Scenen, forstaaer sig af sig selv. Men herved maa erindres – hvad allerede offentlig er bemærket – at Forfatteren ikke af egen Drift har bestemt sig til at bringe sit Arbeide paa Scenen, men anmodet derom af en Skuespiller, som var i Forlegenhed med sin Sommerforestilling. Rigtignok havde det været bedre, om hans Tilbøielighed til at gjøre en Tjeneste ikke havde forledet ham til at opoffre sig selv, og om Componisten Hr. Gade ikke havde ødslet sin characteristiske, følelsesfulde Musik paa et Arbeide, hvorom det var saa let at forudsige, at det ikke kunde bære den«.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	296	1	v17:296 (1855)	medium	located	
Biarrits	Biarrits	kystby sydvest for Bayonne.	1868	1868	15	Et Besøg i Portugal 1866	422	1	v15:422 (1868)	high	head-noun+located+place-type	
Biarritz	Biarrits	Biarritz, fransk by ved den vestlige grænse til Spanien. H.C. Andersen opholdt sig her 27.-29. december 1862.	1863	1863	15	I Spanien	407	1	v15:407 (1863)	medium	located+place-type	
