place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
Elvedgaard	Elvedgaard	hovedgård nordvest for Odense.	1830	1830	1	Dödningen	52	1	v1:52 (1830)	high	head-noun+located+place-type	
Fahlun	Fahlun(s)	by i Dalarne, Sverige.	1850	1850	1	Fugl Phønixifølge græsk mytologi en fugl, som efter en vis tid brænder sig selv op, men derpå genopstår af sin egen aske.Fugl Phønix	488	1	v1:488 (1850)	high	head-noun+located+place-type	
Nyboder	Nyboder	bydel i København, påbegyndt af Christian 4. som boliger for søværnets faste mandskab og karakteristisk ved sine gårdhaver med hyldetræer.	1845	1845	1	HyldemoerH.C. Andersen skrev i de »Bemærkninger«, som afsluttede <i>Eventyr og Historier</i>. <i>Med Illustrationer efter Originaltegninger af V. Pedersen</i>, Andet Bind, 1863, at kimen til dette eventyr »ligger i det af <i>Thiele</i> fortalte Sagn: »Der boer i Hyldetræet et Væsen, som kaldes Hyldemo’er, eller Hyldeqvind. Hun hevner al Overlast, der tilføies Træet (...)«« (jf. denne udgaves bind 3, s. 372; Thiele II, 282 ff.).Hyldemoer	333	1	v1:333 (1845)	high	head-noun+located+place-type	
Slotspladsen	Slotspladsen	pladsen ved Christiansborg.	1850	1850	1	Lykkens Kaloskergaloscher, vandtætte overtrækssko.Kalosker	462	1	v1:462 (1850)	high	head-noun+located+place-type	
Sø	Sø	hav.	1837	1837	1	Den lille Havfrue	156	1	v1:156 (1837)	high	head-noun+place-type	
Søen	Søen	havet.	1838	1838	1	De vilde Svaner	197	1	v1:197 (1838)	high	head-noun+place-type	
Ætna og Vesuv	Ætna og Vesuv	vulkaner henholdsvis på Sicilien og ved Napoli.	1845	1845	1	Sneedronningen	327	1	v1:327 (1845)	medium	located	
